                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89557,                 1.8726,                 1.4013,                 1.1027,                0.93195,                0.53022,                 0.6232,                0.50261,                0.93964,                0.52737,                 0.6067,                0.48275,                0.87044,                 2.0404,                 1.0458,                0.78203,             0.00066379,             0.00066379,             0.00066379
                      2,                0.86079,                 1.6497,                0.89365,                 1.0682,                0.72177,                0.50342,                0.56609,                0.42206,                0.71337,                0.47263,                0.51972,                0.32124,                 1.0114,                 2.9019,                 1.2421,                0.81402,              0.0013217,              0.0013217,              0.0013217
                      3,                0.84373,                 1.6113,                0.83238,                 1.0667,                0.32829,                0.44638,                0.29765,                0.22198,                0.32898,                0.44413,                0.29305,                0.19016,                 1.1055,                 2.2821,                 1.9192,                0.89503,              0.0019708,              0.0019708,              0.0019708
                      4,                0.82074,                 1.5611,                0.78463,                 1.0532,                0.92363,                0.55164,                0.67931,                0.55758,                0.85001,                0.57834,                0.66955,                0.52076,                0.76039,                 1.7405,                0.83385,                0.72261,              0.0019604,              0.0019604,              0.0019604
                      5,                0.76319,                 1.4735,                 0.7274,                  1.033,                0.92539,                 0.5439,                0.62318,                0.52535,                0.93566,                0.53889,                0.61707,                0.51526,                0.77221,                 1.4165,                 1.0678,                0.70621,              0.0019472,              0.0019472,              0.0019472
                      6,                0.75775,                 1.4456,                0.72683,                 1.0382,                0.86816,                0.58495,                0.69118,                0.57557,                0.87193,                0.57447,                0.68477,                0.54978,                0.70744,                  1.422,                0.77955,                0.69756,               0.001934,               0.001934,               0.001934
                      7,                0.71515,                 1.3866,                0.67715,                 1.0208,                0.94846,                0.54558,                0.57994,                0.52228,                0.94747,                0.54501,                0.57869,                 0.4896,                0.69877,                 1.3925,                 1.6021,                0.69624,              0.0019208,              0.0019208,              0.0019208
                      8,                0.71392,                 1.3666,                0.67276,                 1.0236,                  0.901,                 0.6106,                0.71105,                0.61024,                0.90965,                 0.6049,                0.70202,                0.57175,                0.65688,                 1.2786,                0.67406,                0.66837,              0.0019076,              0.0019076,              0.0019076
                      9,                0.69916,                 1.3027,                0.65575,                 1.0145,                0.92764,                0.61288,                0.72058,                 0.6112,                0.92937,                0.61403,                0.71756,                0.57754,                0.63388,                 1.2547,                0.63885,                0.66331,              0.0018944,              0.0018944,              0.0018944
                     10,                0.68398,                 1.3205,                0.63777,                 1.0087,                0.88033,                0.62069,                 0.7096,                 0.6098,                0.87751,                0.61802,                0.70121,                0.57964,                0.65231,                 1.3169,                0.67352,                0.68344,              0.0018812,              0.0018812,              0.0018812
                     11,                0.66668,                 1.2645,                0.62467,                 1.0045,                0.89581,                0.62252,                0.72015,                0.62003,                0.89466,                 0.6198,                0.71059,                0.57638,                0.67352,                  1.209,                 0.6686,                0.67867,               0.001868,               0.001868,               0.001868
                     12,                0.67074,                 1.2851,                0.62326,                 1.0052,                0.97966,                0.52052,                0.58179,                0.52375,                0.97966,                0.52052,                0.58053,                0.49995,                0.66038,                 1.3392,                 1.3243,                0.69267,              0.0018548,              0.0018548,              0.0018548
                     13,                0.64985,                 1.2735,                0.60704,                0.99991,                0.94696,                0.58438,                0.71334,                0.60772,                 0.9441,                0.58735,                 0.7062,                0.57869,                0.59529,                 1.1867,                 0.6456,                0.65409,              0.0018416,              0.0018416,              0.0018416
                     14,                0.66443,                 1.2529,                0.61864,                 1.0039,                0.86795,                0.62885,                0.71691,                0.61104,                0.88728,                0.61745,                0.70573,                0.56963,                0.62972,                 1.4091,                0.64869,                0.67072,              0.0018284,              0.0018284,              0.0018284
                     15,                0.64482,                   1.22,                0.59143,                0.99826,                 0.9123,                0.63113,                0.71904,                0.59508,                0.92523,                0.62201,                0.70899,                0.57807,                 0.6859,                 1.2582,                0.66209,                0.69053,              0.0018152,              0.0018152,              0.0018152
                     16,                0.64125,                 1.2438,                0.58997,                0.99499,                0.91479,                0.60775,                 0.7147,                0.61183,                0.91553,                0.60376,                0.70876,                0.59086,                0.61918,                 1.1064,                0.64745,                0.66106,               0.001802,               0.001802,               0.001802
                     17,                0.62527,                 1.1942,                0.58198,                0.98989,                0.90334,                0.64025,                0.74292,                0.64078,                0.90174,                0.63911,                0.73235,                0.61003,                0.57397,                 1.0794,                0.56737,                0.64173,              0.0017888,              0.0017888,              0.0017888
                     18,                0.63574,                 1.2049,                0.58033,                0.99042,                0.93534,                0.61858,                0.70396,                0.60806,                0.93536,                0.61517,                0.69551,                0.58818,                0.61564,                  1.105,                0.72751,                0.64616,              0.0017756,              0.0017756,              0.0017756
                     19,                0.61969,                 1.1676,                0.56786,                0.98654,                0.86628,                0.66135,                0.74553,                0.64193,                0.86496,                0.66096,                 0.7387,                0.61404,                0.57163,                 1.1171,                0.64416,                0.63913,              0.0017624,              0.0017624,              0.0017624
                     20,                0.61828,                 1.2001,                0.56812,                0.98806,                0.88582,                0.66345,                0.76289,                0.65673,                 0.8829,                0.65336,                0.75052,                0.61797,                0.60868,                 1.1151,                0.60639,                0.64532,              0.0017492,              0.0017492,              0.0017492
                     21,                 0.6085,                 1.1589,                0.56441,                0.98009,                0.93011,                0.63733,                0.75587,                0.65042,                0.93011,                0.63733,                0.74691,                0.61889,                0.58058,                 1.1052,                0.59419,                 0.6405,               0.001736,               0.001736,               0.001736
                     22,                0.60729,                 1.1684,                0.55806,                0.98328,                0.90302,                0.64481,                0.75639,                0.64769,                0.89939,                0.63708,                0.74393,                0.61371,                 0.5827,                 1.1045,                0.55734,                0.64326,              0.0017228,              0.0017228,              0.0017228
                     23,                0.61492,                  1.204,                0.55875,                0.98429,                0.91581,                0.64481,                0.75666,                0.65522,                0.91619,                0.64481,                0.75579,                0.62975,                 0.5652,                 1.0511,                0.55396,                 0.6267,              0.0017096,              0.0017096,              0.0017096
                     24,                0.60496,                 1.1842,                0.54439,                 0.9793,                 0.8945,                0.64294,                0.74672,                0.64805,                0.89054,                0.64009,                0.73929,                0.61028,                 0.5374,                 1.1454,                0.57272,                0.62127,              0.0016964,              0.0016964,              0.0016964
                     25,                 0.5962,                 1.1313,                 0.5462,                0.97411,                0.98266,                  0.561,                0.64056,                 0.5778,                0.98345,                0.56157,                0.63843,                0.55465,                0.58278,                 1.1485,                0.92754,                0.64704,              0.0016832,              0.0016832,              0.0016832
                     26,                0.59829,                  1.162,                0.54926,                0.97865,                0.91198,                0.66157,                0.77251,                0.66118,                0.91665,                0.65206,                0.76686,                0.63617,                0.54838,                 1.0292,                0.50074,                0.62326,                0.00167,                0.00167,                0.00167
                     27,                0.58469,                 1.1369,                0.53891,                0.97555,                0.88962,                0.65849,                0.76147,                0.65558,                 0.9179,                0.63854,                0.75149,                0.61959,                0.56312,                 1.0181,                0.53287,                0.64218,              0.0016568,              0.0016568,              0.0016568
                     28,                0.59439,                 1.1278,                0.53688,                0.97667,                0.91146,                0.65165,                0.76797,                  0.658,                0.93194,                0.64025,                0.75663,                0.62767,                0.56017,                 1.1416,                0.54031,                0.64079,              0.0016436,              0.0016436,              0.0016436
                     29,                0.58915,                 1.1592,                0.54169,                0.97619,                0.88017,                0.64492,                0.75673,                0.64312,                 0.8707,                 0.6373,                0.73913,                0.61531,                0.58602,                 1.1032,                0.57178,                0.64816,              0.0016304,              0.0016304,              0.0016304
                     30,                0.58823,                 1.1208,                0.53609,                0.97515,                0.88074,                0.68208,                 0.7767,                0.66453,                 0.9196,                0.65864,                0.76897,                0.63791,                0.54983,                 1.0112,                0.53834,                0.63384,              0.0016172,              0.0016172,              0.0016172
                     31,                  0.581,                 1.0866,                0.52655,                0.96772,                0.91505,                0.66363,                0.77855,                0.67157,                0.92399,                0.65336,                0.77118,                0.64124,                0.53711,                0.98509,                0.53138,                0.63303,               0.001604,               0.001604,               0.001604
                     32,                0.57869,                 1.0857,                0.53101,                0.97193,                0.90736,                0.65906,                0.76427,                0.66879,                0.91419,                0.64386,                0.75289,                0.62841,                0.52777,                 1.0534,                 0.5371,                0.61248,              0.0015908,              0.0015908,              0.0015908
                     33,                0.56768,                   1.09,                0.51795,                 0.9696,                 0.8917,                0.66819,                0.77349,                0.66181,                0.89229,                0.65621,                0.75925,                0.62909,                 0.5665,                 1.0063,                0.55546,                0.63629,              0.0015776,              0.0015776,              0.0015776
                     34,                0.57409,                 1.1086,                0.52944,                0.96651,                0.90675,                0.67083,                0.77703,                0.67212,                0.90853,                0.66306,                0.77293,                0.64263,                0.54075,                0.96013,                0.51648,                0.62104,              0.0015644,              0.0015644,              0.0015644
                     35,                0.56879,                 1.0644,                 0.5179,                0.96979,                 0.9099,                0.67366,                0.77979,                0.67541,                0.90528,                0.67024,                0.77398,                0.64669,                0.54035,                  1.008,                0.49826,                0.62765,              0.0015512,              0.0015512,              0.0015512
                     36,                0.57345,                 1.0822,                0.51715,                0.97075,                0.92447,                0.67218,                0.77834,                0.67656,                0.91951,                 0.6643,                0.77117,                0.64376,                0.55252,                 1.0228,                0.51948,                0.62748,               0.001538,               0.001538,               0.001538
                     37,                0.57525,                 1.0825,                0.51398,                0.97261,                0.90243,                0.66967,                 0.7777,                0.67376,                0.90792,                0.65964,                0.77008,                0.64612,                0.51826,                 1.0207,                0.50506,                0.61696,              0.0015248,              0.0015248,              0.0015248
                     38,                0.56713,                 1.0849,                0.51213,                0.97157,                0.90876,                0.67009,                0.78274,                0.68029,                0.91016,                0.66422,                0.77669,                0.64953,                0.49659,                0.96106,                 0.4741,                0.59979,              0.0015116,              0.0015116,              0.0015116
                     39,                 0.5575,                 1.0796,                0.50231,                0.96342,                0.90705,                0.67321,                0.78469,                0.67564,                0.90156,                0.66705,                0.77194,                0.64649,                0.53436,                 0.9525,                0.50513,                0.63185,              0.0014984,              0.0014984,              0.0014984
                     40,                0.56054,                 1.1138,                0.51009,                0.96866,                0.89762,                0.66306,                0.77519,                0.67503,                0.90233,                0.65309,                0.76447,                 0.6457,                0.53494,                0.97824,                0.54338,                0.62172,              0.0014852,              0.0014852,              0.0014852
                     41,                0.54795,                  1.013,                0.50326,                0.96134,                0.91029,                0.66525,                0.77907,                0.67148,                0.91152,                0.64608,                0.75967,                0.63605,                0.51561,                0.98582,                 0.5176,                0.61352,               0.001472,               0.001472,               0.001472
                     42,                0.55753,                 1.0687,                  0.503,                0.96321,                0.91465,                0.67203,                0.78675,                 0.6768,                0.90745,                0.66521,                0.77334,                0.64217,                0.52782,                0.96884,                0.52757,                0.61511,              0.0014588,              0.0014588,              0.0014588
                     43,                0.56975,                 1.0818,                 0.5134,                0.96651,                0.90623,                0.67617,                0.78487,                0.67388,                0.90979,                0.67271,                0.77825,                0.64691,                0.53976,                0.94637,                 0.5207,                0.62893,              0.0014456,              0.0014456,              0.0014456
                     44,                0.54633,                 1.0324,                 0.4962,                0.95614,                0.93098,                0.66133,                0.78548,                0.67308,                0.92282,                0.66591,                0.78024,                 0.6518,                0.54159,                0.97829,                0.53229,                0.62607,              0.0014324,              0.0014324,              0.0014324
                     45,                0.55216,                  1.035,                0.49459,                0.96546,                0.90486,                0.68319,                 0.7877,                0.68049,                0.90259,                0.68148,                 0.7875,                0.65386,                0.51427,                0.93112,                0.51384,                0.61577,              0.0014192,              0.0014192,              0.0014192
                     46,                0.54701,                 1.0209,                0.49724,                 0.9591,                0.90864,                0.67475,                0.78235,                0.67864,                 0.9122,                0.66705,                0.77814,                0.64916,                0.55829,                 1.0031,                0.58756,                0.64477,               0.001406,               0.001406,               0.001406
                     47,                0.53923,                 1.0092,                0.49153,                0.95893,                 0.9055,                0.66105,                0.77441,                0.67665,                0.90224,                0.65507,                0.76849,                 0.6478,                0.50605,                0.91719,                0.53105,                0.61059,              0.0013928,              0.0013928,              0.0013928
                     48,                0.54306,                 1.0354,                0.49225,                0.96126,                0.92476,                0.66567,                0.78294,                0.67961,                0.90862,                0.65762,                0.76904,                0.64525,                0.52639,                0.96882,                0.51204,                0.61536,              0.0013796,              0.0013796,              0.0013796
                     49,                0.53908,                 1.0551,                0.48462,                0.95714,                0.91451,                0.67788,                0.78693,                0.68295,                0.92254,                0.67047,                0.78046,                0.65394,                0.50636,                0.92626,                0.51392,                0.61772,              0.0013664,              0.0013664,              0.0013664
                     50,                0.54055,                 1.0401,                0.48685,                 0.9574,                0.89887,                0.67906,                0.78992,                0.68533,                  0.905,                0.67503,                0.78396,                0.65668,                  0.495,                0.93613,                 0.5034,                0.60381,              0.0013532,              0.0013532,              0.0013532
                     51,                0.54326,                 1.0295,                0.49211,                0.96117,                 0.8999,                0.67788,                0.78258,                0.68502,                0.90184,                 0.6699,                 0.7753,                0.64946,                0.50147,                0.93402,                0.48583,                0.60572,                0.00134,                0.00134,                0.00134
                     52,                0.53697,                 1.0004,                0.47938,                0.95343,                0.88495,                0.68757,                0.79151,                0.68569,                0.87391,                0.68472,                0.77996,                0.65249,                0.50949,                0.90735,                0.46678,                0.61132,              0.0013268,              0.0013268,              0.0013268
                     53,                0.53809,                  1.039,                 0.4836,                0.95777,                0.87522,                0.69184,                0.78973,                0.68697,                0.91282,                0.65667,                0.78208,                0.65593,                0.49598,                0.93144,                0.46831,                0.60596,              0.0013136,              0.0013136,              0.0013136
                     54,                0.53621,                0.99877,                0.48247,                0.95532,                0.90487,                0.67788,                0.78707,                 0.6876,                0.89859,                0.67694,                0.77944,                0.65363,                0.50421,                0.93707,                 0.4896,                0.61909,              0.0013004,              0.0013004,              0.0013004
                     55,                0.54045,                 1.0093,                 0.4871,                0.95903,                0.90535,                0.67617,                0.78868,                0.68578,                0.90602,                0.65906,                0.77314,                 0.6484,                0.50767,                0.91177,                  0.495,                0.62108,              0.0012872,              0.0012872,              0.0012872
                     56,                  0.531,                0.99622,                0.47769,                0.95181,                0.89915,                 0.6811,                 0.7923,                0.69436,                0.89385,                0.67161,                0.77564,                0.65797,                0.47479,                0.95523,                0.45605,                0.59998,               0.001274,               0.001274,               0.001274
                     57,                0.53106,                 0.9774,                0.47326,                 0.9536,                0.90125,                0.68684,                0.79514,                0.69747,                0.92862,                0.65849,                0.78501,                0.66022,                0.48189,                 0.8884,                0.47565,                0.60572,              0.0012608,              0.0012608,              0.0012608
                     58,                 0.5258,                0.98674,                0.46386,                0.95448,                0.90148,                 0.6834,                0.79436,                0.69643,                0.90152,                0.67847,                0.78963,                0.66338,                0.48047,                0.91457,                0.45685,                 0.5956,              0.0012476,              0.0012476,              0.0012476
                     59,                0.52952,                0.97589,                0.47347,                0.95377,                0.89927,                0.68415,                 0.7921,                0.69315,                0.91085,                0.67446,                0.78324,                0.66252,                0.47993,                0.93059,                0.47741,                0.59386,              0.0012344,              0.0012344,              0.0012344
                     60,                0.52953,                0.95719,                0.46992,                0.95404,                0.92013,                0.68306,                0.79618,                0.69146,                0.90842,                0.68073,                0.78286,                0.65786,                 0.4866,                0.95491,                0.46458,                 0.6022,              0.0012212,              0.0012212,              0.0012212
                     61,                0.52662,                0.99097,                0.46919,                0.95254,                0.88206,                0.70353,                0.79719,                0.70178,                0.88041,                0.69671,                0.78289,                0.66627,                 0.4669,                0.91301,                0.46834,                 0.5971,               0.001208,               0.001208,               0.001208
                     62,                0.52311,                0.98753,                0.46388,                0.95191,                0.89945,                0.67788,                0.79033,                0.69131,                0.92232,                0.66078,                0.77878,                0.65669,                0.48512,                0.89129,                0.49514,                0.60219,              0.0011948,              0.0011948,              0.0011948
                     63,                0.51861,                0.95446,                0.46406,                0.95206,                0.91272,                0.66774,                0.79836,                0.69722,                0.93535,                0.65222,                0.78986,                0.66518,                0.47531,                0.88257,                0.46928,                0.59802,              0.0011816,              0.0011816,              0.0011816
                     64,                0.51869,                0.97925,                 0.4631,                0.95214,                0.90194,                0.69222,                0.79695,                0.69655,                 0.9001,                0.68319,                0.79255,                0.66802,                0.46556,                 0.9078,                0.47747,                0.59043,              0.0011684,              0.0011684,              0.0011684
                     65,                0.51781,                0.99066,                0.46085,                 0.9516,                0.86912,                0.69897,                 0.7895,                0.68997,                0.87216,                0.69624,                0.78551,                0.66107,                0.48862,                0.87902,                0.48779,                0.60101,              0.0011552,              0.0011552,              0.0011552
                     66,                0.51272,                0.96917,                0.45516,                0.94548,                0.91234,                0.67845,                0.79671,                0.69726,                0.91164,                0.67161,                0.78479,                0.66164,                0.48475,                0.90486,                 0.4859,                0.60536,               0.001142,               0.001142,               0.001142
                     67,                0.51976,                 0.9429,                0.45856,                0.95119,                0.89094,                 0.7033,                0.80553,                0.70065,                0.88115,                0.69498,                0.78931,                0.66167,                0.46756,                 0.8943,                0.45841,                0.59138,              0.0011288,              0.0011288,              0.0011288
                     68,                0.51356,                0.97768,                0.45213,                0.94892,                0.92761,                0.67215,                0.80007,                0.70109,                0.93707,                0.66222,                0.78574,                0.66154,                0.46724,                0.90201,                0.47823,                0.59415,              0.0011156,              0.0011156,              0.0011156
                     69,                0.50719,                0.97588,                0.44753,                0.94806,                0.90434,                0.68529,                0.79541,                0.70155,                0.90329,                0.68358,                 0.7928,                 0.6634,                0.46807,                0.90972,                0.44079,                0.59486,              0.0011024,              0.0011024,              0.0011024
                     70,                0.51323,                0.94629,                0.45892,                0.94602,                0.91639,                0.68112,                  0.802,                0.70094,                 0.8991,                0.68529,                0.78689,                0.66655,                0.47159,                0.92464,                0.45107,                0.59591,              0.0010892,              0.0010892,              0.0010892
                     71,                0.51348,                0.95204,                0.45439,                0.94862,                0.90039,                 0.6927,                0.80046,                0.69969,                0.88983,                  0.687,                 0.7904,                0.66642,                0.47485,                0.92253,                0.44824,                0.59961,               0.001076,               0.001076,               0.001076
                     72,                0.52017,                0.95331,                0.45585,                0.94923,                0.92566,                0.66933,                0.79469,                0.70069,                0.92329,                0.66762,                0.78519,                0.66529,                0.47083,                  0.875,                 0.4502,                0.59636,              0.0010628,              0.0010628,              0.0010628
                     73,                0.51048,                0.94664,                0.45364,                0.94787,                 0.9059,                0.68985,                0.79939,                0.70283,                0.91152,                0.67788,                0.79133,                0.66692,                0.46338,                0.90077,                0.44147,                0.59373,              0.0010496,              0.0010496,              0.0010496
                     74,                0.50643,                0.96071,                0.45672,                0.94434,                0.93112,                 0.6782,                0.80027,                0.70162,                 0.9305,                0.67167,                0.79099,                 0.6646,                0.45861,                0.88268,                0.44221,                0.58575,              0.0010364,              0.0010364,              0.0010364
